Date,Value,date,balance
,,2023-01-01,5416449764.0
,,2023-01-02,171660629.0
,,2023-01-03,104809449.0
,,2023-01-04,313940024.0
,,2023-02-01,10172504933.0
,,2023-02-02,198207967.0
,,2023-02-03,214820463.0
,,2023-02-04,6948692405.0
,,2023-03-01,9990507472.0
,,2023-03-02,9649996598.0
,,2023-03-03,11819580212.0
,,2023-03-04,7539147012.0
,,2023-03-05,-447363334.0
,,2023-04-01,724452469.0
,,2023-04-02,1048794998.0
,,2023-04-03,298836416.0
,,2023-04-04,158243797.0
,,2023-05-01,160979703.0
,,2023-05-02,588395171.0
,,2023-05-03,716672132.0
,,2023-05-04,409634603.0
,,2023-05-05,529795300.0
,,2023-06-01,986392978.0
,,2023-06-02,599784189.0
,,2023-06-03,12984329031.0
,,2023-06-04,340777279.0
,,2023-07-01,90918234.0
,,2023-07-02,303155705.0
,,2023-07-03,39388813.0
,,2023-07-04,83361072.0
,,2023-08-01,23747153.0
,,2023-08-02,175670829.0
,,2023-08-03,10978296228.0
,,2023-08-04,9457496069.0
,,2023-08-05,335306921.0
,,2023-09-01,11197456532.0
,,2023-09-02,13530006255.0
,,2023-09-03,10785641384.0
,,2023-09-04,13129655326.0
,,2023-10-01,541479079.0
,,2023-10-02,474964772.0
,,2023-10-03,11511550973.0
,,2023-10-04,76576356.0
,,2023-11-01,39293252.0
,,2023-11-02,69334899.0
,,2023-11-03,322394363.0
,,2023-11-04,9097849784.0
,,2023-11-05,13358746914.0
,,2023-12-01,12331865670.0
,,2023-12-02,-546818669.0
,,2023-12-03,55764008.0
,,2023-12-04,8142058680.0
,,2024-01-01,-226298455.0
,,2024-01-02,958873334.0
,,2024-01-03,389396179.0
,,2024-01-04,405492743.0
,,2024-01-05,177461665.0
,,2024-02-01,377699333.0
,,2024-02-02,263790082.0
,,2024-02-03,12046750899.0
,,2024-02-04,388858513.0
,,2024-03-01,184565632.0
,,2024-03-02,17036386729.0
,,2024-03-03,82860737.0
,,2024-03-04,15255762399.0
,,2024-04-01,1211008420.0
,,2024-04-02,613788467.0
,,2024-04-03,15744868374.0
,,2024-04-04,-561772560.0
,,2024-05-01,190884295.0
,,2024-05-02,270089002.0
,,2024-05-03,38398605.0
,,2024-05-04,13835553097.0
,,2024-05-05,17908743387.0
,,2024-06-01,14152390248.0
,,2024-06-02,12768505697.0
,,2024-06-03,13477190135.0
,,2024-06-04,114075232.0
,,2024-07-01,192389821.0
,,2024-07-02,125814298.0
,,2024-07-03,11353051913.0
,,2024-07-04,13839826020.0
,,2024-07-05,18457599834.0
,,2024-08-01,-567004046.0
,,2024-08-02,184870202.0
,,2024-08-03,12219445609.0
,,2024-08-04,12881145610.0
,,2024-09-01,12923800015.0
,,2024-09-02,12869941323.0
,,2024-09-03,12042691990.0
,,2024-09-04,12715204057.0
,,2024-10-01,420226829.0
,,2024-10-02,264571531.0
,,2024-10-03,10746669424.0
,,2024-10-04,11636243584.0
,,2024-10-05,16920088516.0
,,2024-11-01,-210573497.0
,,2024-11-02,135528387.0
,,2024-11-03,12647099452.0
,,2024-11-04,16279973807.0
,,2024-12-01,-193016862.0
,,2024-12-02,13037349944.0
,,2024-12-03,14200253846.0
,,2024-12-04,466310766.0
,,2024-12-05,2135772845.0
,,2025-01-01,378615859.0
,,2025-01-02,8063521.0
,,2025-01-03,389069186.0
,,2025-01-04,14901691813.0
,,2025-02-01,16268082884.0
,,2025-02-02,-282093776.0
,,2025-02-03,14637082459.0
,,2025-02-04,14079504900.0
,,2025-03-01,16014834219.0
,,2025-03-02,16054850964.0
,,2025-03-03,-792161132.0
,,2025-03-04,13453179076.0
,,2025-04-01,-827138241.0
,,2025-04-02,132692788.0
,,2025-04-03,167950271.0
,,2025-04-04,306180686.0
,,2025-05-01,386993183.0
,,2025-05-02,363985893.0
,,2025-05-03,597828622.0
,,2025-05-04,283322651.0
,,2025-05-05,611564165.0
,,2025-06-01,393216039.0
,,2025-06-02,96873927.0
,,2025-06-03,97075374.0
,,2025-06-04,366091354.0
,,2025-07-01,577500603.0
,,2025-07-02,400343944.0
,,2025-07-03,200238561.0
,,2025-07-04,571534383.0
,,2025-07-05,16065537402.0
,,2025-08-01,19021477070.0
,,2025-08-02,555031880.0
,,2025-08-03,15157215321.0
,,2025-08-04,15854620899.0
,,2025-09-01,-286690236.0
,,2025-09-02,15983245821.0
,,2025-09-03,16277796187.0
,,2025-09-04,14935598894.0
,,2025-10-01,1278636968.0
,,2025-10-02,1071607049.0
,,2025-10-03,183252322.0
,,2025-10-04,650182808.0
,,2025-10-05,371650523.0
,,2025-11-01,21840162529.0
,,2025-11-02,521885223.0
,,2025-11-03,24056563191.0
,,2025-11-04,14641242460.0
,,2025-12-01,-138828994.0
,,2025-12-02,202055472.0
,,2025-12-03,18954997893.0
,,2025-12-04,11943041790.0
,,2025-12-05,5156230785.0
,,2026-01-01,1212766146.0
,,2026-01-02,750493712.0
,,2026-01-27,750493712.0
